rating,user_id,book_id,reading
1,1,1,1
1,2,2,1
1,1,2,1
1,1,3,1
1,2,2,1
1,3,1,1
1,1,3,1
1,1,3,1
1,1,1,1
1,2,2,1
1,1,3,1
1,2,2,1
1,1,1,1
1,2,2,1
1,2,2,1
1,2,3,1
1,2,2,1
1,2,2,1
1,3,3,1
1,3,1,1
1,3,3,1
1,4,2,1
1,2,1,1
1,2,1,1
1,2,2,1
1,3,2,1
1,5,1,1
1,5,1,1
1,5,1,1
1,2,1,1
1,3,2,1
1,6,1,1
1,3,2,1
1,3,2,1
1,7,1,1
1,2,1,1
1,3,3,1
1,2,1,1
1,2,2,1
1,1,2,1
1,3,3,1
1,8,1,1
1,8,1,1
1,8,2,1
1,8,2,1
1,8,1,1
1,8,2,1
1,5,1,1
1,2,2,1
1,5,3,1
1,2,2,1
1,9,1,1
1,8,2,1
1,2,2,1
1,2,2,1
1,2,2,1
3,5,1,2
3,5,1,2
1,4,1,1
2,4,2,4
4,4,1,3
4,4,1,3
4,3,1,3
3,4,2,5
4,4,2,3
4,4,2,3
4,4,3,3
2,6,1,6
4,6,1,3
4,6,1,3
1,6,1,1
4,6,1,3
1,6,2,1
2,6,1,11
1,6,2,1
2,6,1,7
1,6,1,1
3,6,1,12
4,2,2,3
4,10,1,3
4,10,1,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
4,9,2,3
2,5,1,13
2,10,1,9
3,8,1,14
2,8,1,10
1,8,1,1
1,8,2,1
1,3,1,1
3,10,2,15
3,9,1,4
2,10,1,16
3,9,1,4
1,7,1,1
2,7,1,17
3,7,1,18
2,7,1,9
4,2,1,3
4,2,1,3
4,2,3,3
2,11,3,19
3,5,2,8
3,5,3,8
4,5,1,3
2,5,1,2
4,5,2,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,2,3
4,5,2,3
2,5,2,21
4,5,1,3
4,5,2,3
4,5,2,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
4,3,1,3
3,4,1,8
3,4,1,8
3,4,1,8
3,4,2,8
4,4,2,3
4,4,3,3
4,4,2,3
2,4,2,22
4,4,3,3
4,4,3,3
4,3,3,3
3,4,2,8
4,4,1,3
4,4,1,3
4,4,1,3
3,6,1,4
4,2,2,3
1,2,3,1
4,6,1,3
4,6,1,3
4,6,1,3
4,6,2,3
3,6,1,8
3,6,2,23
3,6,1,4
3,6,1,24
1,6,2,1
1,6,2,1
3,6,2,8
1,2,1,1
4,2,2,3
2,2,1,7
4,6,1,3
4,6,2,3
4,6,1,3
3,6,2,25
2,6,2,10
1,6,2,1
1,6,1,1
2,6,2,7
2,6,1,26
2,7,1,9
3,12,3,15
3,12,3,8
2,12,3,10
3,4,1,20
4,10,1,3
2,10,1,10
2,10,1,9
2,9,3,9
4,5,1,3
1,3,1,1
4,3,2,3
4,8,1,3
4,8,1,3
4,8,1,3
4,8,1,3
4,8,1,3
3,8,1,20
1,12,3,1
3,12,3,38
4,12,3,3
3,12,2,12
2,12,3,36
3,12,3,8
3,12,3,18
3,12,3,18
1,12,3,1
4,6,2,3
3,4,2,18
4,2,2,3
4,6,1,3
2,1,3,9
4,1,3,3
2,1,3,9
2,1,3,17
2,1,3,9
4,1,3,3
1,1,3,1
1,1,3,1
4,1,3,3
3,1,3,9
3,1,2,8
2,1,3,21
4,1,3,3
3,3,2,4
3,3,2,4
3,3,2,4
3,3,2,4
3,3,2,4
3,3,2,4
3,3,2,4
3,3,2,4
3,3,2,4
3,3,2,4
3,3,2,4
3,1,2,20
3,1,2,27
4,1,3,3
2,1,2,28
3,1,3,29
3,1,2,8
4,1,2,3
2,1,2,7
2,1,3,9
4,1,3,3
3,1,3,8
4,1,3,3
3,1,3,18
4,1,2,3
4,5,2,3
4,4,1,3
4,5,1,3
4,5,1,3
2,5,2,21
2,5,2,19
3,5,1,20
4,5,1,3
3,5,1,30
3,5,1,12
2,5,1,34
2,5,1,10
2,5,1,31
4,5,1,3
4,5,1,3
4,13,1,3
4,13,1,3
4,14,3,3
4,11,3,3
4,14,3,3
4,5,2,3
2,5,2,17
2,5,1,7
4,5,1,3
4,5,1,3
4,5,1,3
4,5,1,3
4,5,2,3
1,5,2,1
4,5,2,3
2,5,2,7
3,5,2,20
2,5,2,19
4,5,2,3
2,1,2,21
2,1,2,16
4,5,1,3
2,5,1,13
1,7,1,1
4,7,1,3
1,7,2,1
3,13,3,20
3,1,3,8
3,1,3,8
4,1,3,3
3,1,3,29
4,7,2,3
2,1,2,17
2,1,2,17
3,1,2,32
2,5,2,28
3,1,3,8
4,1,3,3
2,1,2,21
4,1,3,3
4,1,3,3
4,1,3,3
2,1,3,33
1,1,3,1
2,1,3,7
1,1,3,1
2,1,3,17
2,1,3,17
2,1,3,17
2,1,3,17
3,1,3,22
2,1,3,17
2,1,2,7
3,1,2,8
2,1,3,10
2,4,3,10
4,1,3,3
4,1,3,3
2,1,3,28
2,1,2,34
2,1,3,7
1,1,3,1
3,1,3,8
3,1,3,8
4,1,3,3
1,1,3,1
4,1,3,3
2,1,3,10
3,1,3,29
2,5,2,17
4,1,2,3
1,1,3,1
1,1,3,1
2,7,2,34
2,1,3,35
1,5,2,1
2,1,2,19
1,4,2,1
3,1,3,8
4,4,2,3
3,3,2,27
2,1,2,35
4,1,3,3
4,1,3,3
3,3,2,8
4,3,2,3
4,3,1,3
2,3,1,36
2,3,1,2
2,12,1,28
1,12,1,1
4,12,1,3
2,12,1,7
1,12,1,1
2,12,1,17
3,12,1,37
3,12,1,29
2,12,1,16
3,12,1,18
3,12,1,18
2,12,1,28
3,12,1,22
4,12,1,3
4,12,1,3
2,12,1,2
1,12,1,1
1,12,1,1
1,12,1,1
1,12,1,1
4,12,1,3
3,12,1,37
1,12,1,1
2,12,1,7
1,12,1,1
